Short description,Description,Caller,Assignment group,language,cleaned_description,descr_len,num_wds,avg_word,uniq_wds,tokenized_desc
need access to znqcljxt azvoespk's emails,need access to znqcljxt azvoespk's emails,csotmdiw yfeqcbti,GRP_26,en,need access znqcljxt azvoespk email,35,5,6.2,5,need access znqcljxt azvoespk email
outlook is not responding. error : need password.,outlook is not responding. error : need password.,imoelsap gxdwkimv,GRP_0,af,outlook responding error need password,38,5,6.8,5,outlook responding error need password
connections problems with microsoft collaboration_platform and my company account,connections problems with microsoft collaboration_platform and my company account,obanjrhg rnafleys,GRP_0,en,connection problem microsoft collaboration platform company account,67,7,8.714285714285714,7,connection problem microsoft collaboration platform company account
ticket update ,"name:erirtc
language:
browser:microsoft internet explorer
email:ntsowaem.jfgslyde@gmail.com
customer number:
telephone:7
summary:following up on ctc t-code application  incident - ticket_no1539328.  can we please get the folks access aerp?",ntsowaem jfgslyde,GRP_0,en,ticket update erirtcbrowser microsoft internet explorer following ctc code application incident get folk access aerp,116,15,6.8,15,ticket update erirtcbrowser microsoft internet explorer following ctc code application incident get folk access aerp
wireless guest access,"cti ( network â€“wireless-guest )

guest first name: jeffrghryey
guest last name: adrhtykins
guest email-id : jadrhtykins@salesforce.com
contact no - 412
location: 
company sponsor email-id: vbmzgsdk.jdmyazti@gmail.com
duration (duration for guest access) : today until 3 pm est",vbmzgsdk jdmyazti,GRP_0,en,wireless guest access cti network –wireless firstnamejeffrghryeyguest lastnameadrhtykinsguest email id contact location company sponsor duration today pm est,157,18,7.777777777777778,18,wireless guest access cti network wireless firstnamejeffrghryeyguest lastnameadrhtykinsguest email id contact location company sponsor duration today pm est
account locked,account locked,ydigzqbu xdgjizek,GRP_0,en,account locked,14,2,6.5,2,account locked
intermittent shutdown on this computer,intermittent shutdown on this computer,xioapjvd yiqubxmz,GRP_0,en,intermittent shutdown t computer,32,4,7.25,4,intermittent shutdown t computer
inwarehouse_tools 0581144512 and 0581149834 issued for ic5268. should be ic5252.,"inwarehouse_tools 0581144512 and 0581149834 issued for ic5268. should be ic5252.
",ipwjorsc uboapexr,GRP_13,en,inwarehouse tool issued,23,3,7.0,3,inwarehouse tool issued
cannot make or recieve calls on iphone 5.,cannot make or recieve calls on iphone 5.,okubexia viungdpw,GRP_63,en,cannot make recieve call iphone,31,5,5.4,5,cannot make recieve call iphone
user needs this account as mentioned in the screenshot to be an active account so that he can add a new opportstorage_product.,got a call transferred from vitalyst // user needs this account as mentioned in the screenshot to be an active account so that he can add a new opportstorage_product.,fjciqgav ybkqvazh,GRP_40,en,user need t account mentioned screenshot acti add new opportstorage product got call transferred vitalyst,105,15,6.066666666666666,15,user need t account mentioned screenshot acti add new opportstorage product got call transferred vitalyst
new laptop set-up,set up and new laptop and remove the old one,chkmejsn lvidgknc,GRP_3,en,new laptop set remove old one,29,6,4.0,6,new laptop set remove old one
project collaboration_platform site is no longer creating a project id when a new project is added.,"project collaboration_platform site is no longer creating a project id when a new project is added.


examples:


",erckhtzj tdmkgoie,GRP_16,en,project collaboration platform site longer creating id new added example,72,10,6.3,10,project collaboration platform site longer creating id new added example
blank call with noise,blank call with noise,fumkcsji sarmtlhy,GRP_0,en,blank call noise,16,3,4.666666666666667,3,blank call noise
i have created 2 new material numbers but when i try to build the bom or put it in a bom it says material does not exist,mm#'s 7390081 and 6290061,xplwmiyr pifoldxr,GRP_29,en,created new material number try build bom put say exist mm,58,11,4.363636363636363,11,created new material number try build bom put say exist mm
cannot access email,"same incident as the past two days, cannot access to email or km collaboration_platform, it fixed the issue but it is occurring again",rqnxlkce nvrzduyk,GRP_0,en,cannot access email incident past two day km collaboration platform fixed issue occurring,89,13,5.923076923076923,13,cannot access email incident past two day km collaboration platform fixed issue occurring
please display monthly information on the sales approve screen in the compensation programdnty,"please display monthly information on the sales approve screen in the compensation programdnty. since the performance % calculation was changed to a monthly calculation, the screen has become a little confusing.",aofextgk tugywidl,GRP_25,en,display monthly information sale approve screen compensation programdnty since performance calculation changed become little confusing,134,15,8.0,15,display monthly information sale approve screen compensation programdnty since performance calculation changed become little confusing
engineering tool,"from: aghynil dirttwan [mailto:toolperfect@gmail.com] 
sent: thursday, august 25, 2016 11:08 am
to: nwfodmhc exurcwkm
subject: sabrthy engineering tool.

respected sir/madam,
please guidge me how to install engineering tool.we have tried on web,but its not done download.
please reply.


-- 
mr. aghynil dirttwan

perfect sales & services
g-28, mohgrtyan arcade,

",aorthyme rnsuipbk,GRP_0,en,engineering tool,16,2,7.5,2,engineering tool
created rqfhiong zkwfqagb 7301102 yesterday afternoon.  it does not exist in erp but the ansi iso says it already exists,"when i try to re-create with ansi iso tbbuyhexstandoff18mm erp says it already exists.

 
",ivkhegjw gquflzse,GRP_14,en,created rqfong zkwfqagb yesterday afternoon exist erp ansi iso say already exists try create,92,14,5.642857142857143,14,created rqfong zkwfqagb yesterday afternoon exist erp ansi iso say already exists try create
query : who is the owner of  shared mailbox : k-mws-distributor-discounts,query : who is the owner of  shared mailbox : k-mws-distributor-discounts,rmegscqu juksmtho,GRP_0,en,query owner shared mailbox k mws distributor discount,53,8,5.75,8,query owner shared mailbox k mws distributor discount
password reset request.,password reset request.,hwbjnpmg nzrbmojg,GRP_0,fr,password reset request,22,3,6.666666666666667,3,password reset request
bitte ewew8323718 konto wieder aktivieren,bitte ewew8323718 konto wieder aktivieren,xmlbfjpg yegzbvru,GRP_24,af,bitte konto wieder aktivieren,29,4,6.5,4,bitte konto wieder aktivieren
engineering tool password reset.,engineering tool password reset.,dxfbqwyg cyzfmrpq,GRP_0,af,engineering tool password reset,31,4,7.0,4,engineering tool password reset
unable to change the password from password_management_tool,unable to change the password from password_management_tool,fniphjkr tlxygdeh,GRP_0,en,unable change password management tool,38,5,6.8,5,unable change password management tool
"unable to log in to email, erp and collaboration_platform","unable to log in to email, erp and collaboration_platform",afbcmwsu tjgciswl,GRP_0,en,unable log email erp collaboration platform,43,6,6.333333333333333,6,unable log email erp collaboration platform
telefon asxpnlgk mnktdsjq (durchwahl 174) defekt.,display kaum noch lesbar. verbindung bei telefonaten wird mittendrin unterbrochen.,tohxswej pmnlxyrv,GRP_42,de,telefon asxpnlgk mnktdsjq durchwahl defekt display kaum noch lesbar verbindung bei telefonaten wird mittendrin unterbrochen,123,15,7.266666666666667,15,telefon asxpnlgk mnktdsjq durchwahl defekt display kaum noch lesbar verbindung bei telefonaten wird mittendrin unterbrochen
outlook access,outlook will not connect when working from home office. ,ymorvuwg pejkzvfl,GRP_27,en,outlook access connect working home office,42,6,6.166666666666667,6,outlook access connect working home office
unable to submit a discount form from collaboration_platform,unable to submit a discount form from collaboration_platform,tqemuawj mvcqrbaz,GRP_0,en,unable submit discount form collaboration platform,50,6,7.5,6,unable submit discount form collaboration platform
job Job_1314 failed in job_scheduler at: 08/25/2016 08:15:00  ,"received from: monitoring_tool@company.com

job Job_1314 failed in job_scheduler at: 08/25/2016 08:15:00",bpctwhsn kzqsbmtp,GRP_9,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
wrong calculation in erp,"the rebate was not calculated correctly in the inwarehouse_tools 0158493708 + 0158484133.
it was too little rebate.",vrmdtcal agythfow,GRP_13,en,wrong calculation erp rebate calculated correctly inwarehouse tool little,73,9,7.222222222222222,9,wrong calculation erp rebate calculated correctly inwarehouse tool little
job Job_2668 failed in job_scheduler at: 08/25/2016 08:06:00  ,"received from: monitoring_tool@company.com

job Job_2668 failed in job_scheduler at: 08/25/2016 08:06:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
please reset my password for hr_tool globalview SID_67,please reset my password for hr_tool globalview SID_67,qpkbiwzl urypnjvq,GRP_0,en,reset password hr tool globalview,33,5,5.8,5,reset password hr tool globalview
need help to reset password.,need help to reset password.,gwptzvxm rhozsfty,GRP_0,af,need help reset password,24,4,5.25,4,need help reset password
can you help me reset password for microsoft lync please,can you help me reset password for microsoft lync please,zvwrklfa pguesbno,GRP_0,en,help reset password microsoft lync,34,5,6.0,5,help reset password microsoft lync
the detail of earnings batch job is not sending the most current payroll info.   ,"i keep getting zearn report for 6/06/16 -6/19/19.
e-mail title fw: job hr446, step 1
how do i get the correct report.  ",cjqdksbn ysqxpovz,GRP_52,en,detail earnings batch job sending current payroll info keep getting zearn report e mail title fw step get correct,113,19,5.0,19,detail earnings batch job sending current payroll info keep getting zearn report e mail title fw step get correct
printer change from fd37 to fd34 ,"

received from: repyzajo.lxfwopyq@gmail.com

hello help,

as instructed by ecwtrjnq jpecxuty, please change permanently all default printing jobs/outputs on the erp printer fd37 to the printer fd34.
also, please repeat all jobs sent to the printer fd37 between friday, august 19th until now on the new printer fd34.


best ",repyzajo lxfwopyq,GRP_5,en,printer change help instructed ecwtrjnq jpecxuty permanently default printing job output erp also repeat sent friday august new,127,18,6.111111111111111,18,printer change help instructed ecwtrjnq jpecxuty permanently default printing job output erp also repeat sent friday august new
urgent - registration of infopath 2013,"

received from: kuznvase.jrxtbuqz@gmail.com

dear all,

please urgently advise how to proceed with this.
i am asked to review price discounts obviously managed by this ms tool:

[cid:image001.png@01d1fed1.faf73520]



best ",kuznvase jrxtbuqz,GRP_0,en,urgent registration infopath dear urgently advise proceed t asked review price discount obviously managed m tool,112,16,6.0625,16,urgent registration infopath dear urgently advise proceed t asked review price discount obviously managed m tool
unable to connect to hub,unable to connect to hub,mfvkxghn mzjasxqd,GRP_0,es,unable connect hub,18,3,5.333333333333333,3,unable connect hub
folder access (s:\globalace_holemaking\ha646),"please se my comments in red.

viele grÃ¼ÃŸe / best ",dxgyefir rczsatqu,GRP_34,en,folder access globalace holemaking se comment red viele grüße,61,9,5.888888888888889,9,folder access globalace holemaking se comment red viele grüße
